Layer                                                                                                          Dtype                 Size (MB) Shape                         
text_encoders.clip_g.transformer.text_model.encoder.layers.0.mlp.fc1.weight                                    torch.float16            12.500 torch.Size([5120, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.0.mlp.fc2.bias                                      torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.0.mlp.fc2.weight                                    torch.float16            12.500 torch.Size([1280, 5120])      
text_encoders.clip_g.transformer.text_model.encoder.layers.0.self_attn.k_proj.bias                             torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.0.self_attn.k_proj.weight                           torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.0.self_attn.out_proj.bias                           torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.0.self_attn.out_proj.weight                         torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.0.self_attn.q_proj.bias                             torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.0.self_attn.q_proj.weight                           torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.0.self_attn.v_proj.bias                             torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.0.self_attn.v_proj.weight                           torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.1.layer_norm1.bias                                  torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.1.layer_norm1.weight                                torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.1.layer_norm2.bias                                  torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.1.layer_norm2.weight                                torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.1.mlp.fc1.bias                                      torch.float16             0.010 torch.Size([5120])            
text_encoders.clip_g.transformer.text_model.encoder.layers.1.mlp.fc1.weight                                    torch.float16            12.500 torch.Size([5120, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.1.mlp.fc2.bias                                      torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.1.mlp.fc2.weight                                    torch.float16            12.500 torch.Size([1280, 5120])      
text_encoders.clip_g.transformer.text_model.encoder.layers.1.self_attn.k_proj.bias                             torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.1.self_attn.k_proj.weight                           torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.1.self_attn.out_proj.bias                           torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.1.self_attn.out_proj.weight                         torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.1.self_attn.q_proj.bias                             torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.1.self_attn.q_proj.weight                           torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.1.self_attn.v_proj.bias                             torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.1.self_attn.v_proj.weight                           torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.10.layer_norm1.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.10.layer_norm1.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.10.layer_norm2.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.10.layer_norm2.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.10.mlp.fc1.bias                                     torch.float16             0.010 torch.Size([5120])            
text_encoders.clip_g.transformer.text_model.encoder.layers.10.mlp.fc1.weight                                   torch.float16            12.500 torch.Size([5120, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.10.mlp.fc2.bias                                     torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.10.mlp.fc2.weight                                   torch.float16            12.500 torch.Size([1280, 5120])      
text_encoders.clip_g.transformer.text_model.encoder.layers.10.self_attn.k_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.10.self_attn.k_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.10.self_attn.out_proj.bias                          torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.10.self_attn.out_proj.weight                        torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.10.self_attn.q_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.10.self_attn.q_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.10.self_attn.v_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.10.self_attn.v_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.11.layer_norm1.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.11.layer_norm1.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.11.layer_norm2.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.11.layer_norm2.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.11.mlp.fc1.bias                                     torch.float16             0.010 torch.Size([5120])            
text_encoders.clip_g.transformer.text_model.encoder.layers.11.mlp.fc1.weight                                   torch.float16            12.500 torch.Size([5120, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.11.mlp.fc2.bias                                     torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.11.mlp.fc2.weight                                   torch.float16            12.500 torch.Size([1280, 5120])      
text_encoders.clip_g.transformer.text_model.encoder.layers.11.self_attn.k_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.11.self_attn.k_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.11.self_attn.out_proj.bias                          torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.11.self_attn.out_proj.weight                        torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.11.self_attn.q_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.11.self_attn.q_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.11.self_attn.v_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.11.self_attn.v_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.12.layer_norm1.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.12.layer_norm1.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.12.layer_norm2.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.12.layer_norm2.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.12.mlp.fc1.bias                                     torch.float16             0.010 torch.Size([5120])            
text_encoders.clip_g.transformer.text_model.encoder.layers.12.mlp.fc1.weight                                   torch.float16            12.500 torch.Size([5120, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.12.mlp.fc2.bias                                     torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.12.mlp.fc2.weight                                   torch.float16            12.500 torch.Size([1280, 5120])      
text_encoders.clip_g.transformer.text_model.encoder.layers.12.self_attn.k_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.12.self_attn.k_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.12.self_attn.out_proj.bias                          torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.12.self_attn.out_proj.weight                        torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.12.self_attn.q_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.12.self_attn.q_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.12.self_attn.v_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.12.self_attn.v_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.13.layer_norm1.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.13.layer_norm1.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.13.layer_norm2.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.13.layer_norm2.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.13.mlp.fc1.bias                                     torch.float16             0.010 torch.Size([5120])            
text_encoders.clip_g.transformer.text_model.encoder.layers.13.mlp.fc1.weight                                   torch.float16            12.500 torch.Size([5120, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.13.mlp.fc2.bias                                     torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.13.mlp.fc2.weight                                   torch.float16            12.500 torch.Size([1280, 5120])      
text_encoders.clip_g.transformer.text_model.encoder.layers.13.self_attn.k_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.13.self_attn.k_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.13.self_attn.out_proj.bias                          torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.13.self_attn.out_proj.weight                        torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.13.self_attn.q_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.13.self_attn.q_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.13.self_attn.v_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.13.self_attn.v_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.14.layer_norm1.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.14.layer_norm1.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.14.layer_norm2.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.14.layer_norm2.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.14.mlp.fc1.bias                                     torch.float16             0.010 torch.Size([5120])            
text_encoders.clip_g.transformer.text_model.encoder.layers.14.mlp.fc1.weight                                   torch.float16            12.500 torch.Size([5120, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.14.mlp.fc2.bias                                     torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.14.mlp.fc2.weight                                   torch.float16            12.500 torch.Size([1280, 5120])      
text_encoders.clip_g.transformer.text_model.encoder.layers.14.self_attn.k_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.14.self_attn.k_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.14.self_attn.out_proj.bias                          torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.14.self_attn.out_proj.weight                        torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.14.self_attn.q_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.14.self_attn.q_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.14.self_attn.v_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.14.self_attn.v_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.15.layer_norm1.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.15.layer_norm1.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.15.layer_norm2.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.15.layer_norm2.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.15.mlp.fc1.bias                                     torch.float16             0.010 torch.Size([5120])            
text_encoders.clip_g.transformer.text_model.encoder.layers.15.mlp.fc1.weight                                   torch.float16            12.500 torch.Size([5120, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.15.mlp.fc2.bias                                     torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.15.mlp.fc2.weight                                   torch.float16            12.500 torch.Size([1280, 5120])      
text_encoders.clip_g.transformer.text_model.encoder.layers.15.self_attn.k_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.15.self_attn.k_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.15.self_attn.out_proj.bias                          torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.15.self_attn.out_proj.weight                        torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.15.self_attn.q_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.15.self_attn.q_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.15.self_attn.v_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.15.self_attn.v_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.16.layer_norm1.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.16.layer_norm1.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.16.layer_norm2.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.16.layer_norm2.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.16.mlp.fc1.bias                                     torch.float16             0.010 torch.Size([5120])            
text_encoders.clip_g.transformer.text_model.encoder.layers.16.mlp.fc1.weight                                   torch.float16            12.500 torch.Size([5120, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.16.mlp.fc2.bias                                     torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.16.mlp.fc2.weight                                   torch.float16            12.500 torch.Size([1280, 5120])      
text_encoders.clip_g.transformer.text_model.encoder.layers.16.self_attn.k_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.16.self_attn.k_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.16.self_attn.out_proj.bias                          torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.16.self_attn.out_proj.weight                        torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.16.self_attn.q_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.16.self_attn.q_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.16.self_attn.v_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.16.self_attn.v_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.17.layer_norm1.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.17.layer_norm1.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.17.layer_norm2.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.17.layer_norm2.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.17.mlp.fc1.bias                                     torch.float16             0.010 torch.Size([5120])            
text_encoders.clip_g.transformer.text_model.encoder.layers.17.mlp.fc1.weight                                   torch.float16            12.500 torch.Size([5120, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.17.mlp.fc2.bias                                     torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.17.mlp.fc2.weight                                   torch.float16            12.500 torch.Size([1280, 5120])      
text_encoders.clip_g.transformer.text_model.encoder.layers.17.self_attn.k_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.17.self_attn.k_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.17.self_attn.out_proj.bias                          torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.17.self_attn.out_proj.weight                        torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.17.self_attn.q_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.17.self_attn.q_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.17.self_attn.v_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.17.self_attn.v_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.18.layer_norm1.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.18.layer_norm1.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.18.layer_norm2.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.18.layer_norm2.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.18.mlp.fc1.bias                                     torch.float16             0.010 torch.Size([5120])            
text_encoders.clip_g.transformer.text_model.encoder.layers.18.mlp.fc1.weight                                   torch.float16            12.500 torch.Size([5120, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.18.mlp.fc2.bias                                     torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.18.mlp.fc2.weight                                   torch.float16            12.500 torch.Size([1280, 5120])      
text_encoders.clip_g.transformer.text_model.encoder.layers.18.self_attn.k_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.18.self_attn.k_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.18.self_attn.out_proj.bias                          torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.18.self_attn.out_proj.weight                        torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.18.self_attn.q_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.18.self_attn.q_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.18.self_attn.v_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.18.self_attn.v_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.19.layer_norm1.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.19.layer_norm1.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.19.layer_norm2.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.19.layer_norm2.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.19.mlp.fc1.bias                                     torch.float16             0.010 torch.Size([5120])            
text_encoders.clip_g.transformer.text_model.encoder.layers.19.mlp.fc1.weight                                   torch.float16            12.500 torch.Size([5120, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.19.mlp.fc2.bias                                     torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.19.mlp.fc2.weight                                   torch.float16            12.500 torch.Size([1280, 5120])      
text_encoders.clip_g.transformer.text_model.encoder.layers.19.self_attn.k_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.19.self_attn.k_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.19.self_attn.out_proj.bias                          torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.19.self_attn.out_proj.weight                        torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.19.self_attn.q_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.19.self_attn.q_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.19.self_attn.v_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.19.self_attn.v_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.2.layer_norm1.bias                                  torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.2.layer_norm1.weight                                torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.2.layer_norm2.bias                                  torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.2.layer_norm2.weight                                torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.2.mlp.fc1.bias                                      torch.float16             0.010 torch.Size([5120])            
text_encoders.clip_g.transformer.text_model.encoder.layers.2.mlp.fc1.weight                                    torch.float16            12.500 torch.Size([5120, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.2.mlp.fc2.bias                                      torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.2.mlp.fc2.weight                                    torch.float16            12.500 torch.Size([1280, 5120])      
text_encoders.clip_g.transformer.text_model.encoder.layers.2.self_attn.k_proj.bias                             torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.2.self_attn.k_proj.weight                           torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.2.self_attn.out_proj.bias                           torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.2.self_attn.out_proj.weight                         torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.2.self_attn.q_proj.bias                             torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.2.self_attn.q_proj.weight                           torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.2.self_attn.v_proj.bias                             torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.2.self_attn.v_proj.weight                           torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.20.layer_norm1.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.20.layer_norm1.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.20.layer_norm2.bias                                 torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.20.layer_norm2.weight                               torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.20.mlp.fc1.bias                                     torch.float16             0.010 torch.Size([5120])            
text_encoders.clip_g.transformer.text_model.encoder.layers.20.mlp.fc1.weight                                   torch.float16            12.500 torch.Size([5120, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.20.mlp.fc2.bias                                     torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.20.mlp.fc2.weight                                   torch.float16            12.500 torch.Size([1280, 5120])      
text_encoders.clip_g.transformer.text_model.encoder.layers.20.self_attn.k_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.20.self_attn.k_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.20.self_attn.out_proj.bias                          torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.20.self_attn.out_proj.weight                        torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.20.self_attn.q_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.20.self_attn.q_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
text_encoders.clip_g.transformer.text_model.encoder.layers.20.self_attn.v_proj.bias                            torch.float16             0.002 torch.Size([1280])            
text_encoders.clip_g.transformer.text_model.encoder.layers.20.self_attn.v_proj.weight                          torch.float16             3.125 torch.Size([1280, 1280])      
